,iyear,imonth,iday,country,region,provstate,city,latitude,longitude,attacktype1,attacktype2,attacktype3,targtype1,natlty1,targtype2,natlty2,targtype3,natlty3,gname,gname2,gname3,weaptype1,weaptype2,weaptype3,weaptype4,nkill,nwound,population
2883,2009,7,31,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,15,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,1.0,7,0.0
2884,2009,7,31,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,15,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,4.0,17,0.0
2885,2009,7,31,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,15,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,0.0,4,7216000.0
2901,2009,7,31,6,10,Boumerdes Province,Ben Ouali,"36,838611","3,732778",2,,,3,6.0,,,,,Gunmen,,,5,,,,0.0,1,0.0
2904,2009,8,2,95,10,Al Anbar,Hadithah,"34,160587","42,37254",3,,,14,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,7.0,20,30925.0
2917,2009,8,3,6,10,Tizi Ouzou Province,Tadmait,"36,73914","3,901676",2,,,14,6.0,,,,,Islamist extremists,,,5,,,,4.0,0,20952.0
2944,2009,8,5,6,10,Tizi Ouzou Province,Beni Aïssi,"36,662321","4,079895",2,,,4,6.0,,,,,Gunmen,,,5,,,,0.0,1,0.0
2947,2009,8,6,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,14,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,1.0,3,158508.0
3002,2009,8,10,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,14,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,7.0,35,7216000.0
3008,2009,8,10,95,10,Nineveh,Khazna,"36,359535","43,336533",3,,,14,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,25.0,70,0.0
3025,2009,8,11,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,14,95.0,,,,,Islamic State of Iraq (ISI),,,6,6.0,,,8.0,30,7216000.0
3067,2009,8,14,209,10,Istanbul,Istanbul,"41,106178","28,689863",3,,,1,209.0,,,,,Kurdistan Workers' Party (PKK),,,6,,,,1.0,1,0.0
3117,2009,8,18,6,10,Boumerdes,Les Issers,"36,72398","3,670848",3,,,3,6.0,,,,,Al-Qaida in the Islamic Maghreb (AQIM),,,6,,,,43.0,38,17953.0
3118,2009,8,19,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,2,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,102.0,552,7216000.0
3120,2009,8,19,95,10,Diyala,Jalawlah,"34,271034","45,163567",2,,,2,95.0,,,,,Islamic State of Iraq (ISI),,,5,,,,2.0,2,0.0
3249,2009,8,24,6,10,Boumerdes Province,Legata,"36,748611","3,683611",2,,,14,6.0,,,,,Gunmen,,,5,,,,1.0,0,17953.0
3252,2009,8,27,173,10,Makkah,Jeddah,"21,543155","39,174905",1,,,2,173.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,6,,,,1.0,1,2867446.0
3273,2009,8,29,95,10,Nineveh,Sinjar,"36,319386","41,861473",3,,,14,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,6.0,20,38294.0
3286,2009,8,30,6,10,Boumerdes Province,Legata,"36,748611","3,683611",2,,,3,6.0,,,,,Gunmen,,,5,,,,0.0,1,17953.0
3350,2009,9,6,228,10,Al Jawf,Zuwaybi,"16,249994","45,478097",2,,,14,228.0,,,,,Houthi extremists (Ansar Allah),,,5,,,,12.0,0,1.0
3383,2009,9,8,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,2,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,1.0,13,7216000.0
3456,2009,9,13,6,10,Boumerdes Province,Ouled Allal,"36,63333","3,68333",2,,,3,6.0,,,,,Gunmen,,,5,,,,1.0,0,0.0
3459,2009,9,13,6,10,Boumerdes Province,Si Mustapha,"36,724419","3,619247",2,,,3,6.0,,,,,Gunmen,,,5,,,,0.0,1,0.0
3460,2009,9,12,6,10,Tizi Ouzou Province,Ouadhia,"36,55611","4,08972",2,,,4,6.0,,,,,Gunmen,,,5,,,,2.0,0,22404.0
3478,2009,9,15,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,7,217.0,,,,,Mujahedeen Corps in Iraq,,,6,,,,2.0,5,7216000.0
3483,2009,9,16,97,10,Southern,Eshkol regional council,"31,192114","34,449473",3,,,14,97.0,,,,,Ansar Al Sunnah (Palestine),,,6,,,,0.0,0,0.0
3489,2009,9,16,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,13,95.0,,,,,Asa'ib Ahl al-Haqq,,,6,,,,0.0,2,0.0
3510,2009,9,17,95,10,Muthanna,Khidhir,"31,198561","45,539242",1,,,2,95.0,,,,,Islamic State of Iraq (ISI),,,5,,,,1.0,2,0.0
3540,2009,9,20,6,10,Tizi Ouzou Province,Takoucht,"36,592604","4,487702",3,,,4,6.0,,,,,Al-Qaida in the Islamic Maghreb (AQIM),,,6,,,,0.0,5,0.0
3580,2009,9,25,6,10,Tizi Ouzou Province,Draa Ben Khedda,"36,734167","3,962222",2,,,3,6.0,,,,,Gunmen,,,5,,,,0.0,2,37443.0
3642,2009,10,2,95,10,Babil,Iskandariyah,"32,887157","44,341637",3,,,2,94.0,,,,,Islamic State of Iraq (ISI),,,6,,,,0.0,5,0.0
3652,2009,10,2,95,10,Nineveh,Shura,"35,99353","43,21973",3,,,15,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,1.0,4,0.0
3702,2009,10,6,95,10,Al Anbar,Amiriyah,"33,163559","43,863106",3,,,14,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,9.0,31,0.0
3730,2009,10,8,95,10,Babil,Yusufiyah,"33,07835","44,254719",3,,,1,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,3.0,10,0.0
3741,2009,10,9,95,10,Al Anbar,Saqlawiah,"33,397812","43,706276",3,,,15,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,3.0,0,0.0
3826,2009,10,15,6,10,Tizi Ouzou Province,Mechreck,"36,519439","4,146745",2,,,3,6.0,,,,,Al-Qaida in the Islamic Maghreb (AQIM),,,5,,,,1.0,0,0.0
3864,2009,10,18,94,10,Sistan and Balochistan,Pishin,"26,079255","61,753754",3,,,14,94.0,,,,,Jundallah (Iran),,,6,,,,35.0,25,0.0
3922,2009,10,22,6,10,Tizi Ouzou Province,Maatkas,"36,612083","3,98778",2,,,3,6.0,1.0,38.0,,,Al-Qaida in the Islamic Maghreb (AQIM),,,5,,,,7.0,2,0.0
3926,2009,10,22,95,10,Diyala,Baqubah,"33,74324","44,623825",1,,,17,95.0,,,,,Al-Qaida in Iraq,,,6,,,,0.0,2,152550.0
